time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,5.6256,351600
3,6.5472,760800
3.5,6.72,1180800
4,6.624,1594800
4.5,6.6816,2012400
5,6.5856,2424000
5.5,6.5472,2833200
6,6.624,3247200
6.5,6.5472,3656400
7,6.6048,4069200
7.5,6.6048,4482000
8,6.4896,4887600
8.5,6.6624,5304000
9,6.6432,5719200
9.5,6.528,6127200
10,6.5472,6536400
10.5,6.6048,6949200
11,6.5856,7360800
11.5,6.6432,7776000
12,6.6048,8188800
12.5,6.624,8602800
13,6.528,9010800
13.5,6.624,9424800
14,6.624,9838800
14.5,6.7008,10257600
15,6.5088,10664400
15.5,6.6048,11077200
16,6.5088,11484000
16.5,6.6432,11899200
17,6.5472,12308400
17.5,6.6048,12721200
18,6.624,13135200
18.5,6.5856,13546800
19,6.5664,13957200
19.5,6.6432,14372400
