time_s,throughput_bps
2.500,15417600.000
3.000,25958400.000
3.500,40608000.000
4.000,51168000.000
4.500,52646400.000
5.000,52300800.000
5.500,51801600.000
6.000,52435200.000
6.500,52185600.000
7.000,52396800.000
7.500,52416000.000
8.000,52627200.000
8.500,51897600.000
9.000,72921600.000
9.500,79142400.000
10.000,77529600.000
10.500,78585600.000
11.000,78681600.000
11.500,78432000.000
12.000,78566400.000
12.500,78720000.000
13.000,79296000.000
13.500,78912000.000
14.000,78355200.000
14.500,78835200.000
15.000,78873600.000
15.500,78297600.000
16.000,78489600.000
16.500,79219200.000
17.000,77491200.000
17.500,78988800.000
18.000,78451200.000
18.500,78297600.000
19.000,78643200.000
19.500,78355200.000
20.000,78624000.000
