time_s,throughput_bps
2.500,6451200.000
3.000,6451200.000
3.500,6451200.000
4.000,6432000.000
4.500,6470400.000
5.000,6374400.000
5.500,6451200.000
6.000,6451200.000
6.500,6393600.000
7.000,6470400.000
7.500,6451200.000
8.000,6432000.000
8.500,6451200.000
9.000,6451200.000
9.500,6470400.000
10.000,6451200.000
10.500,6451200.000
11.000,6451200.000
11.500,6451200.000
12.000,6451200.000
12.500,6432000.000
13.000,6451200.000
13.500,6470400.000
14.000,6432000.000
14.500,6451200.000
15.000,6451200.000
15.500,6374400.000
16.000,6451200.000
16.500,6451200.000
17.000,6451200.000
17.500,6451200.000
18.000,6451200.000
18.500,6451200.000
19.000,6451200.000
19.500,6470400.000
20.000,6451200.000
