x,y,associated,offered_mbps,goodput_mbps,avg_rtt_ms,rtt_replies,tx_bytes,rx_bytes,loss_ratio,rssi_est_dbm,snr_est_db,seed,run,standard,transport,rateControl,channelWidth
12.000000,-3.000000,1,9.996800,6.576000,146.379943,14,3748800,2466000,0.342190,-59.448071,34.541629,1,103,ax,udp,adaptive,20
12.000000,-5.000000,1,9.996800,6.588800,148.676467,14,3748800,2470800,0.340909,-60.096001,33.893699,1,102,ax,udp,adaptive,20
12.000000,-7.000000,1,9.996800,6.569600,148.050730,14,3748800,2463600,0.342830,-60.961060,33.028640,1,101,ax,udp,adaptive,20
12.000000,-9.000000,1,9.996800,6.534400,148.207036,14,3748800,2450400,0.346351,-61.960438,32.029262,1,100,ax,udp,adaptive,20
14.000000,11.000000,1,9.996800,6.540800,148.983270,13,3748800,2452800,0.345711,-64.193589,29.796111,1,126,ax,udp,adaptive,20
14.000000,13.000000,1,9.996800,6.579200,147.622726,14,3748800,2467200,0.341869,-65.112093,28.877607,1,127,ax,udp,adaptive,20
14.000000,15.000000,1,9.996800,6.563200,147.446937,14,3748800,2461200,0.343470,-66.041931,27.947769,1,128,ax,udp,adaptive,20
14.000000,1.000000,1,9.996800,6.563200,148.140909,14,3748800,2461200,0.343470,-61.094693,32.895007,1,121,ax,udp,adaptive,20
14.000000,3.000000,1,9.996800,6.537600,148.875562,14,3748800,2451600,0.346031,-61.354008,32.635692,1,122,ax,udp,adaptive,20
14.000000,5.000000,1,9.996800,6.572800,367.763063,11,3748800,2464800,0.342510,-61.843584,32.146116,1,123,ax,udp,adaptive,20
14.000000,7.000000,1,9.996800,6.528000,150.836671,14,3748800,2448000,0.346991,-62.515191,31.474509,1,124,ax,udp,adaptive,20
14.000000,9.000000,1,9.996800,6.566400,147.020575,14,3748800,2462400,0.343150,-63.314897,30.674804,1,125,ax,udp,adaptive,20
14.000000,-11.000000,1,9.996800,6.592000,146.593900,14,3748800,2472000,0.340589,-64.193589,29.796111,1,115,ax,udp,adaptive,20
14.000000,-13.000000,1,9.996800,6.547200,147.344897,14,3748800,2455200,0.345070,-65.112093,28.877607,1,114,ax,udp,adaptive,20
14.000000,-15.000000,1,9.996800,6.563200,149.863970,13,3748800,2461200,0.343470,-66.041931,27.947769,1,113,ax,udp,adaptive,20
14.000000,-1.000000,1,9.996800,6.576000,146.424827,14,3748800,2466000,0.342190,-61.094693,32.895007,1,120,ax,udp,adaptive,20
14.000000,-3.000000,1,9.996800,6.566400,147.895674,14,3748800,2462400,0.343150,-61.354008,32.635692,1,119,ax,udp,adaptive,20
14.000000,-5.000000,1,9.996800,6.550400,149.271707,14,3748800,2456400,0.344750,-61.843584,32.146116,1,118,ax,udp,adaptive,20
14.000000,-7.000000,1,9.996800,6.595200,148.460829,14,3748800,2473200,0.340269,-62.515191,31.474509,1,117,ax,udp,adaptive,20
14.000000,-9.000000,1,9.996800,6.560000,147.252146,14,3748800,2460000,0.343790,-63.314897,30.674804,1,116,ax,udp,adaptive,20
16.000000,11.000000,1,9.996800,6.547200,149.373223,13,3748800,2455200,0.345070,-65.322820,28.666880,1,142,ax,udp,adaptive,20
16.000000,13.000000,1,9.996800,6.428800,156.184149,13,3748800,2410800,0.356914,-66.103534,27.886166,1,143,ax,udp,adaptive,20
16.000000,15.000000,1,9.996800,6.361600,161.761582,12,3748800,2385600,0.363636,-66.909876,27.079824,1,144,ax,udp,adaptive,20
