time_s,throughput_bps
2.500,70195200.000
3.000,156921600.000
3.500,159417600.000
4.000,156384000.000
4.500,182899200.000
5.000,206073600.000
5.500,243744000.000
6.000,252345600.000
6.500,254553600.000
7.000,253824000.000
7.500,250636800.000
8.000,253593600.000
8.500,251116800.000
9.000,252326400.000
9.500,251673600.000
10.000,254668800.000
10.500,254592000.000
11.000,251001600.000
11.500,251289600.000
12.000,252000000.000
12.500,251904000.000
13.000,248064000.000
13.500,249868800.000
14.000,253075200.000
14.500,253593600.000
15.000,254515200.000
15.500,252576000.000
16.000,253920000.000
16.500,252595200.000
17.000,251289600.000
17.500,255264000.000
18.000,251366400.000
18.500,254246400.000
19.000,250944000.000
19.500,254688000.000
20.000,254073600.000
