time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,0,0
3,0,0
3.5,3.2832,205200
4,6.4704,609600
4.5,4.5504,894000
5,6.624,1308000
5.5,6.5856,1719600
6,6.6432,2134800
6.5,6.6048,2547600
7,6.5088,2954400
7.5,6.624,3368400
8,6.5856,3780000
8.5,6.7392,4201200
9,6.5088,4608000
9.5,6.6048,5020800
10,6.5664,5431200
10.5,6.6048,5844000
11,6.624,6258000
11.5,6.7392,6679200
12,6.6624,7095600
12.5,6.6432,7510800
13,6.5472,7920000
13.5,6.7392,8341200
14,6.6816,8758800
14.5,6.5856,9170400
15,6.5472,9579600
15.5,6.6624,9996000
16,6.5856,10407600
16.5,6.6432,10822800
17,1.2288,10899600
17.5,6.2208,11288400
18,6.72,11708400
18.5,6.5472,12117600
19,6.6816,12535200
19.5,6.6624,12951600
