time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,4.2816,267600
3,6.2592,658800
3.5,6.624,1072800
4,6.6432,1488000
4.5,6.6624,1904400
5,6.6624,2320800
5.5,6.6432,2736000
6,6.5856,3147600
6.5,6.72,3567600
7,2.496,3723600
7.5,6.432,4125600
8,6.6432,4540800
8.5,5.3568,4875600
9,0,4875600
9.5,4.0704,5130000
10,6.528,5538000
10.5,6.6048,5950800
11,2.2848,6093600
11.5,5.7024,6450000
12,6.5664,6860400
12.5,6.6048,7273200
13,3.0912,7466400
13.5,5.4336,7806000
14,6.6048,8218800
14.5,6.5472,8628000
15,6.5088,9034800
15.5,6.5856,9446400
16,6.6432,9861600
16.5,6.7392,10282800
17,6.5856,10694400
17.5,3.7824,10930800
18,1.5936,11030400
18.5,6.2592,11421600
19,6.5664,11832000
19.5,6.6048,12244800
