time_s,seq,rtt_ms
2.06652,0,66
2.31821,1,118
2.55867,2,158
2.75615,3,156
2.97268,4,172
3.34958,6,149
3.55235,7,152
3.75098,8,150
3.95282,9,152
4.1585,10,158
4.34952,11,149
4.54839,12,148
4.75062,13,150
4.94835,14,148
5.14888,15,148
5.38776,16,187
5.61184,17,211
5.80232,18,202
5.95571,19,155
6.36341,21,163
6.80498,23,204
6.98084,24,180
7.19245,25,192
7.79609,28,196
8.14937,30,149
8.8771,34,77
9.32479,36,124
9.54788,37,147
9.74634,38,146
9.94754,39,147
10.1529,40,152
10.355,41,155
10.5502,42,150
10.748,43,148
10.9494,44,149
11.148,45,148
11.3516,46,151
11.77,48,170
11.9704,49,170
12.3442,51,144
12.5509,52,150
12.7476,53,147
12.9493,54,149
13.1491,55,149
13.3521,56,152
13.5469,57,146
13.7475,58,147
13.9502,59,150
14.1483,60,148
14.345,61,144
14.5481,62,148
14.7622,63,162
14.9448,64,144
15.1504,65,150
16.3472,71,147
16.5473,72,147
16.7475,73,147
16.9527,74,152
17.1501,75,150
17.3486,76,148
17.5475,77,147
17.7475,78,147
17.951,79,151
18.1486,80,148
18.3486,81,148
18.5461,82,146
18.7467,83,146
18.9489,84,148
19.1484,85,148
19.3688,86,168
19.765,88,164
19.9531,89,153
