time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,6.24,390000
3,6.5856,801600
3.5,6.7584,1224000
4,6.5088,1630800
4.5,6.5664,2041200
5,6.5472,2450400
5.5,6.5472,2859600
6,6.6624,3276000
6.5,6.5088,3682800
7,6.6624,4099200
7.5,6.6432,4514400
8,6.6816,4932000
8.5,4.2816,5199600
9,3.5712,5422800
9.5,6.0672,5802000
10,6.6432,6217200
10.5,6.6624,6633600
11,6.5664,7044000
11.5,6.624,7458000
12,6.5664,7868400
12.5,6.7008,8287200
13,6.624,8701200
13.5,6.5664,9111600
14,6.6048,9524400
14.5,6.624,9938400
15,6.624,10352400
15.5,6.6624,10768800
16,6.7968,11193600
16.5,6.624,11607600
17,6.5088,12014400
17.5,6.5856,12426000
18,6.5856,12837600
18.5,6.6432,13252800
19,6.6816,13670400
19.5,6.624,14084400
