time_s,seq,rtt_ms
4.67271,7,1272
4.67282,9,872
4.67294,12,272
4.74959,13,149
4.9501,14,150
5.17959,15,179
5.38392,16,183
5.55421,17,154
5.78716,18,187
5.98868,19,188
6.15273,20,152
6.35434,21,154
6.5489,22,148
6.75246,23,152
6.95012,24,150
7.14615,25,146
7.34893,26,148
7.54981,27,149
7.74535,28,145
7.95255,29,152
8.14532,30,145
8.34168,31,141
8.5488,32,148
8.75086,33,150
8.95035,34,150
9.14816,35,148
9.3497,36,149
9.572,37,172
9.74671,38,146
9.94645,39,146
10.1495,40,149
10.3512,41,151
10.5511,42,151
10.7523,43,152
10.9486,44,148
11.1506,45,150
12.1802,50,180
12.3499,51,149
12.7542,53,154
12.9503,54,150
13.1442,55,144
13.3441,56,144
13.5445,57,144
13.7466,58,146
13.9469,59,146
14.1489,60,148
14.3445,61,144
14.5528,62,152
14.7476,63,147
14.9502,64,150
15.1435,65,143
15.3538,66,153
15.5475,67,147
15.7535,68,153
15.9591,69,159
16.151,70,151
17.3026,76,102
17.5681,77,168
17.7441,78,144
17.9588,79,158
18.1496,80,149
18.3531,81,153
18.5504,82,150
18.7483,83,148
18.946,84,146
19.1517,85,151
19.3508,86,150
19.5589,87,158
19.7584,88,158
19.9557,89,155
