time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,0.9984,62400
3,0,62400
3.5,0,62400
4,4.9344,370800
4.5,4.9536,680400
5,1.344,764400
5.5,3.3408,973200
6,1.2288,1050000
6.5,5.4912,1393200
7,6.5472,1802400
7.5,6.6624,2218800
8,6.6048,2631600
8.5,6.624,3045600
9,6.2016,3433200
9.5,5.0112,3746400
10,6.624,4160400
10.5,6.6624,4576800
11,6.4704,4981200
11.5,6.624,5395200
12,6.5856,5806800
12.5,6.6816,6224400
13,6.5664,6634800
13.5,6.6816,7052400
14,6.6624,7468800
14.5,6.6624,7885200
15,6.6432,8300400
15.5,6.5856,8712000
16,6.6048,9124800
16.5,4.4928,9405600
17,0.2688,9422400
17.5,4.6848,9715200
18,6.6048,10128000
18.5,6.5664,10538400
19,6.6048,10951200
19.5,6.6432,11366400
