time_s,seq,rtt_ms
3.26307,1,1063
3.26318,2,863
3.26329,3,663
3.35065,6,150
3.54549,7,145
3.7477,8,147
3.95044,9,150
4.15057,10,150
4.58041,12,180
4.74864,13,148
4.95969,14,159
5.15759,15,157
5.97804,19,178
6.17168,20,171
7.08478,25,84
7.34793,26,147
7.54888,27,148
7.74713,28,147
7.94716,29,147
9.21224,36,12
9.51942,37,119
9.75135,38,151
9.94858,39,148
10.3704,41,170
11.3531,46,153
11.5495,47,149
11.7497,48,149
11.947,49,147
12.1521,50,152
12.6801,53,80
12.8789,54,78
13.3477,56,147
13.5491,57,149
13.7521,58,152
13.9461,59,146
14.1485,60,148
14.3523,61,152
14.548,62,148
14.7485,63,148
14.9558,64,155
15.1466,65,146
15.3517,66,151
15.547,67,146
15.7489,68,148
15.9478,69,147
16.1487,70,148
16.7915,73,191
16.9523,74,152
17.1828,75,182
17.2503,76,50
17.6413,78,41
18.0515,80,51
18.7412,83,141
18.9478,84,147
19.1479,85,147
19.349,86,148
19.5506,87,150
19.749,88,148
19.9457,89,145
