time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,0,0
3,0,0
3.5,0,0
4,0,0
4.5,0,0
5,0,0
5.5,2.12685,132928
6,2.08397,263176
6.5,2.30694,407360
7,2.25549,548328
7.5,2.20403,686080
8,2.26406,827584
8.5,2.02394,954080
9,2.22976,1093440
9.5,2.23834,1233336
10,2.26406,1374840
10.5,2.24691,1515272
11,2.24691,1655704
11.5,1.02912,1720024
12,0,1720024
12.5,0.660352,1761296
13,2.26406,1902800
13.5,2.23834,2042696
14,2.24691,2183128
14.5,2.22118,2321952
15,2.27264,2463992
15.5,2.26406,2605496
16,2.10112,2736816
16.5,1.00339,2799528
17,0,2799528
17.5,0.608896,2837584
18,2.15258,2972120
18.5,2.25549,3113088
19,2.26406,3254592
19.5,2.23834,3394488
