time_s,seq,rtt_ms
2.03255,0,32
2.38355,1,183
2.5793,2,179
2.80224,3,202
3.04102,4,241
3.21302,5,213
3.39471,6,194
3.55066,7,150
3.70999,8,109
3.90155,9,101
4.09636,10,96
4.28847,11,88
4.47854,12,78
4.70435,13,104
4.86283,14,62
5.06182,15,61
5.25585,16,55
5.43769,17,37
5.82984,19,29
6.01577,20,15
6.21689,21,16
6.4151,22,15
6.60241,23,2
6.8503,24,50
7.03565,25,35
7.20314,26,3
7.43794,27,37
7.80644,29,6
8.00216,30,2
8.20234,31,2
8.60452,33,4
8.80244,34,2
9.00444,35,4
9.2023,36,2
9.40216,37,2
9.61417,38,14
9.82475,39,24
10.0318,40,31
10.2377,41,37
10.4147,42,14
10.6432,43,43
10.8589,44,58
11.0392,45,39
11.2731,46,73
11.4739,47,73
11.8441,49,44
12.0048,50,4
12.2021,51,2
12.4029,52,2
12.6021,53,2
12.8021,54,2
13.0136,55,13
13.2234,56,23
13.4292,57,29
13.6362,58,36
13.8413,59,41
14.0445,60,44
14.249,61,49
14.4541,62,54
14.6588,63,58
14.8614,64,61
15.0658,65,65
16.455,72,55
16.6417,73,41
16.8444,74,44
17.05,75,50
17.2533,76,53
17.4589,77,58
17.6602,78,60
17.8595,79,59
18.0664,80,66
18.2712,81,71
18.4739,82,73
18.6801,83,80
18.8748,84,74
19.0792,85,79
19.2848,86,84
19.4859,87,85
19.6786,88,78
19.8736,89,73
