time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,0,0
3,0,0
3.5,0,0
4,0,0
4.5,0,0
5,0,0
5.5,1.17491,73432
6,0,73432
6.5,0.574592,109344
7,0.137216,117920
7.5,0,117920
8,0.703232,161872
8.5,1.04627,227264
9,0,227264
9.5,0.420224,253528
10,2.24691,393960
10.5,1.20064,469000
11,0,469000
11.5,0.317312,488832
12,2.22118,627656
12.5,1.12346,697872
13,0,697872
13.5,0.411648,723600
14,2.23834,863496
14.5,2.11827,995888
15,2.24691,1136320
15.5,2.20403,1274072
16,2.25549,1415040
16.5,2.22976,1554400
17,1.7152,1661600
17.5,0.823296,1713056
18,0,1713056
18.5,0.008576,1713592
19,1.39789,1800960
19.5,2.18688,1937640
