time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.13542,133464
3,1.22637,210112
3.5,2.71002,379488
4,2.22976,518848
4.5,2.10112,650168
5,2.15258,784704
5.5,2.22976,924064
6,0.68608,966944
6.5,0,966944
7,1.81811,1080576
7.5,0.72896,1126136
8,0,1126136
8.5,0.008576,1126672
9,0,1126672
9.5,0.008576,1127208
10,2.04109,1254776
10.5,2.16115,1389848
11,2.16973,1525456
11.5,2.21261,1663744
12,0.626048,1702872
12.5,0,1702872
13,0.411648,1728600
13.5,2.23834,1868496
14,2.23834,2008392
14.5,2.22118,2147216
15,2.24691,2287648
15.5,1.20064,2362688
16,0,2362688
16.5,0.969088,2423256
17,2.25549,2564224
17.5,2.23834,2704120
18,2.28122,2846696
18.5,2.22976,2986056
19,2.26406,3127560
19.5,2.27264,3269600
