time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,0.377344,23584
3,0,23584
3.5,1.072,90584
4,2.24691,231016
4.5,0.488832,261568
5,0,261568
5.5,0,261568
6,0,261568
6.5,0,261568
7,0,261568
7.5,1.08915,329640
8,2.1783,465784
8.5,0.291584,484008
9,0,484008
9.5,1.9296,604608
10,2.24691,745040
10.5,2.18688,881720
11,2.27264,1023760
11.5,2.23834,1163656
12,2.16115,1298728
12.5,1.83526,1413432
13,1.02054,1477216
13.5,0,1477216
14,1.02054,1541000
14.5,2.04966,1669104
15,2.11827,1801496
15.5,2.19546,1938712
16,2.21261,2077000
16.5,0.977664,2138104
17,0,2138104
17.5,0,2138104
18,0,2138104
18.5,0,2138104
19,0,2138104
19.5,0.291584,2156328
