time_s,throughput_bps
2.500,129657600.000
3.000,128678400.000
3.500,129907200.000
4.000,129600000.000
4.500,129580800.000
5.000,128678400.000
5.500,129619200.000
6.000,129676800.000
6.500,129580800.000
7.000,129772800.000
7.500,129504000.000
8.000,129945600.000
8.500,129734400.000
9.000,129676800.000
9.500,129676800.000
10.000,129945600.000
10.500,129542400.000
11.000,129868800.000
11.500,128870400.000
12.000,129619200.000
12.500,129811200.000
13.000,129734400.000
13.500,129753600.000
14.000,129830400.000
14.500,129753600.000
15.000,129715200.000
15.500,129600000.000
16.000,129715200.000
16.500,129715200.000
17.000,128889600.000
17.500,129542400.000
18.000,129638400.000
18.500,129542400.000
19.000,129792000.000
19.500,129600000.000
20.000,129504000.000
