time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.16973,135608
3,2.27264,277648
3.5,0.883328,332856
4,2.86438,511880
4.5,2.20403,649632
5,2.27264,791672
5.5,2.27264,933712
6,2.21261,1072000
6.5,2.25549,1212968
7,2.22976,1352328
7.5,2.28122,1494904
8,2.24691,1635336
8.5,2.22976,1774696
9,2.22118,1913520
9.5,2.28122,2056096
10,2.22118,2194920
10.5,2.22976,2334280
11,2.22118,2473104
11.5,2.26406,2614608
12,1.37216,2700368
12.5,1.92102,2820432
13,2.72717,2990880
13.5,2.25549,3131848
14,2.23834,3271744
14.5,2.25549,3412712
15,2.22118,3551536
15.5,2.26406,3693040
16,2.24691,3833472
16.5,2.23834,3973368
17,2.25549,4114336
17.5,2.27264,4256376
18,2.26406,4397880
18.5,2.27264,4539920
19,2.25549,4680888
19.5,2.23834,4820784
