time_s,seq,rtt_ms
2.02616,0,26
2.37637,1,176
2.57981,2,179
2.79969,3,199
2.98881,4,188
3.23932,5,239
3.44268,6,242
3.59392,7,193
3.7931,8,193
3.90919,9,109
4.10802,10,108
4.31506,11,115
4.51295,12,112
4.71858,13,118
4.92,14,120
5.12084,15,120
5.32406,16,124
5.52141,17,121
5.72734,18,127
5.92564,19,125
6.12563,20,125
6.32351,21,123
6.52826,22,128
6.72674,23,126
6.93126,24,131
7.12911,25,129
7.33223,26,132
7.53425,27,134
7.73342,28,133
7.9337,29,133
8.13966,30,139
8.33759,31,137
8.54074,32,140
8.74419,33,144
8.94148,34,141
9.14498,35,144
9.34672,36,146
9.5457,37,145
9.75119,38,151
9.95024,39,150
10.1543,40,154
10.3564,41,156
10.5576,42,157
10.7667,43,166
10.9725,44,172
11.1778,45,177
11.3864,46,186
11.5917,47,191
11.8106,48,210
12.0423,49,242
12.2439,50,243
12.383,51,183
12.5683,52,168
12.7046,53,104
12.909,54,108
13.1139,55,113
13.3092,56,109
13.5172,57,117
13.7141,58,114
13.9204,59,120
14.1191,60,119
14.3197,61,119
14.5232,62,123
14.7247,63,124
14.9219,64,121
15.1244,65,124
15.3285,66,128
15.5266,67,126
15.7275,68,127
15.9282,69,128
16.1318,70,131
16.3335,71,133
16.5353,72,135
16.7317,73,131
16.9374,74,137
17.1354,75,135
17.3409,76,140
17.5382,77,138
17.7373,78,137
17.943,79,143
18.149,80,148
18.3435,81,143
18.5447,82,144
18.749,83,148
18.9542,84,154
19.1515,85,151
19.3576,86,157
19.5647,87,164
19.7716,88,171
19.9771,89,177
