time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.144,134000
3,2.23834,273896
3.5,0.81472,324816
4,2.97587,510808
4.5,2.25549,651776
5,2.27264,793816
5.5,2.28122,936392
6,2.23834,1076288
6.5,2.25549,1217256
7,2.24691,1357688
7.5,2.27264,1499728
8,2.25549,1640696
8.5,2.25549,1781664
9,2.26406,1923168
9.5,2.22976,2062528
10,2.23834,2202424
10.5,2.23834,2342320
11,2.23834,2482216
11.5,2.27264,2624256
12,1.48365,2716984
12.5,2.3241,2862240
13,2.21261,3000528
13.5,2.25549,3141496
14,2.26406,3283000
14.5,2.26406,3424504
15,2.24691,3564936
15.5,2.24691,3705368
16,2.20403,3843120
16.5,2.23834,3983016
17,2.25549,4123984
17.5,2.27264,4266024
18,2.26406,4407528
18.5,2.23834,4547424
19,2.24691,4687856
19.5,2.26406,4829360
