time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.15258,134536
3,2.23834,274432
3.5,0.866176,328568
4,0.240128,343576
4.5,2.09536,474536
5,2.21261,612824
5.5,2.22118,751648
6,2.23834,891544
6.5,2.28122,1034120
7,2.24691,1174552
7.5,2.25549,1315520
8,2.24691,1455952
8.5,2.23834,1595848
9,2.21261,1734136
9.5,2.23834,1874032
10,2.22118,2012856
10.5,2.22976,2152216
11,2.21261,2290504
11.5,2.26406,2432008
12,2.24691,2572440
12.5,2.24691,2712872
13,1.0377,2777728
13.5,2.76147,2950320
14,2.22118,3089144
14.5,2.22976,3228504
15,2.22118,3367328
15.5,2.26406,3508832
16,2.22118,3647656
16.5,2.25549,3788624
17,2.24691,3929056
17.5,2.27264,4071096
18,2.22976,4210456
18.5,2.25549,4351424
19,2.22976,4490784
19.5,2.24691,4631216
