time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.16973,135608
3,2.22976,274968
3.5,0.909056,331784
4,2.88154,511880
4.5,2.23834,651776
5,2.24691,792208
5.5,2.24691,932640
6,2.24691,1073072
6.5,2.24691,1213504
7,2.26406,1355008
7.5,2.24691,1495440
8,2.22976,1634800
8.5,2.27264,1776840
9,2.24691,1917272
9.5,2.27264,2059312
10,2.25549,2200280
10.5,2.25549,2341248
11,2.26406,2482752
11.5,2.26406,2624256
12,1.29498,2705192
12.5,1.93818,2826328
13,2.80435,3001600
13.5,2.25549,3142568
14,2.22976,3281928
14.5,2.22976,3421288
15,2.26406,3562792
15.5,2.27264,3704832
16,2.24691,3845264
16.5,2.23834,3985160
17,2.22118,4123984
17.5,2.27264,4266024
18,2.22118,4404848
18.5,2.26406,4546352
19,2.25549,4687320
19.5,2.26406,4828824
