time_s,seq,rtt_ms
2.02306,0,23
2.36965,1,169
2.5819,2,181
2.79266,3,192
2.99368,4,193
3.23926,5,239
3.44263,6,242
3.59752,7,197
3.78778,8,187
3.9083,9,108
4.11111,10,111
4.31141,11,111
4.51705,12,117
4.71562,13,115
4.91841,14,118
5.12354,15,123
5.3284,16,128
5.52172,17,121
5.7277,18,127
5.9269,19,126
6.12667,20,126
6.32525,21,125
6.52574,22,125
6.72787,23,127
6.93007,24,130
7.12875,25,128
7.33249,26,132
7.53265,27,132
7.73612,28,136
7.93571,29,135
8.13998,30,139
8.34557,31,145
8.53928,32,139
8.74209,33,142
8.94376,34,143
9.14207,35,142
9.34517,36,145
9.54956,37,149
9.74862,38,148
9.95114,39,151
10.1557,40,155
10.3583,41,158
10.5569,42,156
10.7678,43,167
10.9726,44,172
11.1762,45,176
11.3884,46,188
11.5936,47,193
11.8151,48,215
12.0433,49,243
12.2454,50,245
12.3819,51,181
12.5647,52,164
12.6994,53,99
12.9029,54,102
13.1136,55,113
13.3145,56,114
13.5157,57,115
13.7171,58,117
13.9215,59,121
14.1216,60,121
14.3214,61,121
14.5235,62,123
14.724,63,124
14.9186,64,118
15.1235,65,123
15.3227,66,122
15.5282,67,128
15.7265,68,126
15.9298,69,129
16.1299,70,129
16.3322,71,132
16.5327,72,132
16.7346,73,134
16.9379,74,137
17.1366,75,136
17.338,76,138
17.5427,77,142
17.7426,78,142
17.9436,79,143
18.144,80,143
18.3432,81,143
18.5469,82,146
18.7452,83,145
18.9526,84,152
19.1531,85,153
19.3568,86,156
19.5646,87,164
19.7712,88,171
19.9805,89,180
