time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,0.274432,17152
3,0,17152
3.5,0.977664,78256
4,2.20403,216008
4.5,2.22976,355368
5,2.25549,496336
5.5,2.04109,623904
6,2.34125,770232
6.5,2.24691,910664
7,2.23834,1050560
7.5,2.22976,1189920
8,2.25549,1330888
8.5,2.23834,1470784
9,2.26406,1612288
9.5,2.24691,1752720
10,2.27264,1894760
10.5,2.25549,2035728
11,2.24691,2176160
11.5,1.86957,2293008
12,2.45274,2446304
12.5,2.25549,2587272
13,2.22976,2726632
13.5,2.1097,2858488
14,2.15258,2993024
14.5,2.24691,3133456
15,2.23834,3273352
15.5,2.16973,3408960
16,2.24691,3549392
16.5,1.59514,3649088
17,0,3649088
17.5,0.617472,3687680
18,2.27264,3829720
18.5,2.23834,3969616
19,2.23834,4109512
19.5,2.26406,4251016
