time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,0.411648,25728
3,0,25728
3.5,1.7495,135072
4,2.24691,275504
4.5,2.26406,417008
5,2.04109,544576
5.5,1.8953,663032
6,1.8953,781488
6.5,2.22976,920848
7,2.26406,1062352
7.5,2.22976,1201712
8,2.25549,1342680
8.5,0.831872,1394672
9,0,1394672
9.5,0.403072,1419864
10,2.26406,1561368
10.5,2.23834,1701264
11,2.16115,1836336
11.5,2.24691,1976768
12,2.25549,2117736
12.5,2.15258,2252272
13,2.23834,2392168
13.5,2.23834,2532064
14,2.25549,2673032
14.5,2.25549,2814000
15,2.25549,2954968
15.5,2.25549,3095936
16,2.24691,3236368
16.5,2.16973,3371976
17,0.283008,3389664
17.5,0,3389664
18,3.91424,3634304
18.5,2.3241,3779560
19,2.23834,3919456
19.5,2.22976,4058816
