time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.15258,134536
3,2.22976,273896
3.5,1.02912,338216
4,2.77005,511344
4.5,2.1097,643200
5,2.28122,785776
5.5,2.25549,926744
6,2.26406,1068248
6.5,2.19546,1205464
7,2.05824,1334104
7.5,2.18688,1470784
8,2.22976,1610144
8.5,2.16115,1745216
9,2.1097,1877072
9.5,2.26406,2018576
10,2.26406,2160080
10.5,2.23834,2299976
11,2.27264,2442016
11.5,2.22976,2581376
12,2.16115,2716448
12.5,2.26406,2857952
13,2.25549,2998920
13.5,2.25549,3139888
14,2.26406,3281392
14.5,2.24691,3421824
15,2.28122,3564400
15.5,2.22976,3703760
16,1.68947,3809352
16.5,2.47846,3964256
17,2.24691,4104688
17.5,2.26406,4246192
18,2.25549,4387160
18.5,2.22976,4526520
19,2.25549,4667488
19.5,2.23834,4807384
