time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,0,0
3,0,0
3.5,2.02394,126496
4,0.12864,134536
4.5,3.36922,345112
5,1.73363,453464
5.5,2.21926,592168
6,2.18688,728848
6.5,2.25549,869816
7,1.5008,963616
7.5,2.25549,1104584
8,2.25549,1245552
8.5,0.960512,1305584
9,0,1305584
9.5,1.18349,1379552
10,2.21261,1517840
10.5,2.01536,1643800
11,0,1643800
11.5,2.19891,1781232
12,2.22976,1920592
12.5,2.18688,2057272
13,1.98963,2181624
13.5,0.051456,2184840
14,0,2184840
14.5,1.31213,2266848
15,2.22976,2406208
15.5,2.24691,2546640
16,2.25549,2687608
16.5,2.27264,2829648
17,2.13542,2963112
17.5,2.20403,3100864
18,2.25549,3241832
18.5,2.09254,3372616
19,2.25549,3513584
19.5,2.1783,3649728
