time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,1.95533,122208
3,1.99821,247096
3.5,2.3241,392352
4,2.21261,530640
4.5,1.81811,644272
5,2.54707,803464
5.5,2.25549,944432
6,2.22118,1083256
6.5,2.24691,1223688
7,2.23834,1363584
7.5,2.27264,1505624
8,2.24691,1646056
8.5,2.22976,1785416
9,2.07539,1915128
9.5,1.00339,1977840
10,0,1977840
10.5,0.008576,1978376
11,1.44934,2068960
11.5,2.23834,2208856
12,2.24691,2349288
12.5,2.13542,2482752
13,2.28122,2625328
13.5,0.651776,2666064
14,0,2666064
14.5,0.025728,2667672
15,0,2667672
15.5,0.008576,2668208
16,2.04109,2795776
16.5,2.25549,2936744
17,2.24691,3077176
17.5,2.24691,3217608
18,2.25549,3358576
18.5,0.909056,3415392
19,0,3415392
19.5,1.20922,3490968
