time_s,throughput_bps
2.500,2649600.000
3.000,10368000.000
3.500,60307200.000
4.000,82060800.000
4.500,82732800.000
5.000,82214400.000
5.500,81868800.000
6.000,82195200.000
6.500,82348800.000
7.000,82617600.000
7.500,81907200.000
8.000,80486400.000
8.500,82060800.000
9.000,82022400.000
9.500,81081600.000
10.000,80467200.000
10.500,82252800.000
11.000,82176000.000
11.500,82636800.000
12.000,82694400.000
12.500,102105600.000
13.000,107923200.000
13.500,107443200.000
14.000,108652800.000
14.500,110092800.000
15.000,108652800.000
15.500,108864000.000
16.000,109171200.000
16.500,109036800.000
17.000,108518400.000
17.500,109056000.000
18.000,108384000.000
18.500,107155200.000
19.000,109190400.000
19.500,108364800.000
20.000,108940800.000
