time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,1.30355,81472
3,2.77005,254600
3.5,2.04966,382704
4,2.24691,523136
4.5,2.24691,663568
5,1.70662,770232
5.5,2.59853,932640
6,2.24691,1073072
6.5,2.28122,1215648
7,2.23834,1355544
7.5,2.22976,1494904
8,2.26406,1636408
8.5,2.26406,1777912
9,2.24691,1918344
9.5,2.26406,2059848
10,2.22976,2199208
10.5,2.22976,2338568
11,2.24691,2479000
11.5,2.25549,2619968
12,2.27264,2762008
12.5,2.24691,2902440
13,2.22976,3041800
13.5,1.97248,3165080
14,1.12346,3235296
14.5,2.9673,3420752
15,2.24691,3561184
15.5,2.24691,3701616
16,2.07539,3831328
16.5,2.24691,3971760
17,2.24691,4112192
17.5,2.28979,4255304
18,2.27264,4397344
18.5,2.22976,4536704
19,2.24691,4677136
19.5,2.26406,4818640
