time_s,seq,rtt_ms
2.02317,0,23
2.21089,1,10
2.4239,2,23
2.60775,3,7
2.8189,4,18
3.00935,5,9
3.27809,6,78
3.47924,7,79
3.68056,8,80
3.87425,9,74
4.08976,10,89
4.29168,11,91
4.49523,12,95
4.69446,13,94
4.89674,14,96
5.09926,15,99
5.3007,16,100
5.49997,17,99
5.69933,18,99
5.89893,19,98
6.09852,20,98
6.30394,21,103
6.50223,22,102
6.7067,23,106
6.90522,24,105
7.10818,25,108
7.3147,26,114
7.51429,27,114
7.7105,28,110
7.91179,29,111
8.1176,30,117
8.31678,31,116
8.52076,32,120
8.71965,33,119
8.92402,34,124
9.13557,35,135
9.32893,36,128
9.52996,37,129
9.72674,38,126
9.93451,39,134
10.1354,40,135
10.3363,41,136
10.5418,42,141
10.7497,43,149
10.9552,44,155
11.1712,45,171
11.3772,46,177
11.5733,47,173
12.0054,49,205
12.1922,50,192
12.3439,51,143
12.5518,52,151
12.7548,53,154
12.9687,54,168
13.1669,55,166
13.3791,56,179
13.574,57,174
13.7813,58,181
13.9812,59,181
14.1894,60,189
14.3899,61,189
14.5977,62,197
14.7941,63,194
14.9892,64,189
15.2081,65,208
15.3844,66,184
15.5966,67,196
15.7908,68,190
15.9962,69,196
16.1906,70,190
16.4005,71,200
16.5908,72,190
16.827,73,226
16.996,74,195
17.0843,75,84
17.2025,76,2
17.4021,77,2
17.6021,78,2
17.8495,79,49
18.1023,80,102
18.3049,81,104
18.5085,82,108
18.7107,83,110
18.9117,84,111
19.1144,85,114
19.3147,86,114
19.5172,87,117
19.7139,88,113
19.9155,89,115
