time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,1.72378,107736
3,2.29837,251384
3.5,2.23834,391280
4,2.24691,531712
4.5,2.02394,658208
5,2.15258,792744
5.5,2.24691,933176
6,2.27264,1075216
6.5,2.27264,1217256
7,2.26406,1358760
7.5,2.27264,1500800
8,2.23834,1640696
8.5,0.81472,1691616
9,0,1691616
9.5,1.17491,1765048
10,2.24691,1905480
10.5,2.25549,2046448
11,2.27264,2188488
11.5,2.26406,2329992
12,2.22976,2469352
12.5,2.25549,2610320
13,2.24691,2750752
13.5,2.23834,2890648
14,2.28122,3033224
14.5,2.26406,3174728
15,2.24691,3315160
15.5,2.22976,3454520
16,2.24691,3594952
16.5,2.24691,3735384
17,2.23834,3875280
17.5,2.24691,4015712
18,2.24691,4156144
18.5,1.16634,4229040
19,0,4229040
19.5,2.09754,4360136
