time_s,seq,rtt_ms
2.02271,0,22
2.36914,1,169
2.58207,2,182
2.7877,3,187
2.99183,4,191
3.21486,5,214
3.44632,6,246
3.64438,7,244
3.78569,8,185
3.83969,9,39
4.00214,10,2
4.21722,11,17
4.414,12,13
4.60286,13,2
4.9055,14,105
5.13822,15,138
5.28045,16,80
5.48431,17,84
5.68327,18,83
5.8883,19,88
6.08606,20,86
6.29023,21,90
6.493,22,92
6.6937,23,93
6.89528,24,95
7.09931,25,99
7.29902,26,99
7.52231,27,122
7.67843,28,78
7.87966,29,79
8.08293,30,82
8.28325,31,83
8.49157,32,91
8.69303,33,93
8.89351,34,93
9.09842,35,98
9.42594,37,25
9.61679,38,16
10.0021,40,2
10.2021,41,2
10.4526,42,52
10.671,43,70
10.8725,44,72
11.0805,45,80
11.2857,46,85
11.4841,47,84
11.6894,48,89
11.8854,49,85
12.0873,50,87
12.2882,51,88
12.4922,52,92
12.6978,53,97
12.899,54,99
13.0972,55,97
13.2942,56,94
13.5075,57,107
14.0221,60,22
14.2047,61,4
14.4154,62,15
15.2072,66,7
15.4021,67,2
15.6025,68,2
15.8021,69,2
16.0021,70,2
16.2021,71,2
16.4021,72,2
16.6021,73,2
16.8044,74,4
17.0945,75,94
17.3996,76,199
17.5154,77,115
17.7208,78,120
17.9224,79,122
18.1299,80,129
18.3352,81,135
18.528,82,128
18.7428,83,142
18.9372,84,137
19.1484,85,148
19.3493,86,149
19.5545,87,154
19.7497,88,149
19.9531,89,153
