time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,1.09773,68608
3,2.26406,210112
3.5,2.22976,349472
4,2.22976,488832
4.5,2.22976,628192
5,2.15258,762728
5.5,2.16115,897800
6,2.26406,1039304
6.5,2.144,1173304
7,2.18688,1309984
7.5,2.22976,1449344
8,2.25549,1590312
8.5,0.72896,1635872
9,0,1635872
9.5,0.994816,1698048
10,0,1698048
10.5,2.10061,1829336
11,1.60371,1929568
11.5,2.25549,2070536
12,2.22118,2209360
12.5,2.18688,2346040
13,2.26406,2487544
13.5,2.23834,2627440
14,2.24691,2767872
14.5,2.22976,2907232
15,2.24691,3047664
15.5,2.24691,3188096
16,2.22976,3327456
16.5,2.23834,3467352
17,2.26406,3608856
17.5,2.24691,3749288
18,2.22118,3888112
18.5,2.26406,4029616
19,2.22118,4168440
19.5,2.23834,4308336
