time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,2.16973,135608
3,2.27264,277648
3.5,0.98624,339288
4,0,339288
4.5,2.08717,469736
5,1.11488,539416
5.5,2.50419,695928
6,2.24691,836360
6.5,2.22976,975720
7,2.24691,1116152
7.5,2.13542,1249616
8,2.22118,1388440
8.5,2.23834,1528336
9,2.27264,1670376
9.5,1.1063,1739520
10,0,1739520
10.5,0.660352,1780792
11,2.26406,1922296
11.5,2.23834,2062192
12,2.25549,2203160
12.5,2.24691,2343592
13,2.24691,2484024
13.5,2.25549,2624992
14,0.977664,2686096
14.5,0,2686096
15,0,2686096
15.5,0,2686096
16,0,2686096
16.5,0,2686096
17,2.30694,2830280
17.5,2.09254,2961064
18,2.25549,3102032
18.5,2.25549,3243000
19,2.25549,3383968
19.5,2.26406,3525472
