time_s,throughput_Mbps,rxBytes_total
2,0,0
2.5,0.38592,24120
3,0,24120
3.5,1.62944,125960
4,2.24691,266392
4.5,2.23834,406288
5,2.23834,546184
5.5,2.22118,685008
6,2.25549,825976
6.5,2.25549,966944
7,2.21261,1105232
7.5,2.25549,1246200
8,2.24691,1386632
8.5,2.24691,1527064
9,2.24691,1667496
9.5,2.27264,1809536
10,2.23834,1949432
10.5,2.26406,2090936
11,2.22976,2230296
11.5,2.22976,2369656
12,1.40646,2457560
12.5,2.8215,2633904
13,2.21261,2772192
13.5,2.24691,2912624
14,2.25549,3053592
14.5,2.25549,3194560
15,2.23834,3334456
15.5,2.22118,3473280
16,2.24691,3613712
16.5,2.28122,3756288
17,0.068608,3760576
17.5,0,3760576
18,3.16595,3958448
18.5,2.24691,4098880
19,2.24691,4239312
19.5,2.26406,4380816
